short,stem,long,stem_count,long_count
"1,1",{'garch'},{'garch'},1,1
10-opt,{'zero norm optim'},{'zero norm optimization'},1,1
2-d,{'two dimension'},{'two-dimensional'},1,1
2d,{'gb'},{'gb'},1,1
2sgp,{'two stage genet program'},{'two-stage genetic programming'},1,1
3-d,{'three dimension'},{'three-dimensional'},1,1
3-d ic,{'3 d integr circuit'},{'3-d integrated circuit'},1,1
3d,{'three dimension'},{'three-dimensional'},1,1
3d ptv,{'three dimension particl track velocimetri'},{'three-dimensional particle tracking velocimetry'},1,1
3g,{'third generat'},{'third-generation'},1,1
a,"{'poli', 'polyadenyl poli'}","{'poly', 'polyadenylation poly'}",2,2
a-si,{'amorph silicon'},{'amorphous silicon'},1,1
aa,{'amino acid'},{'amino acid'},1,1
aaa,{'abdomin aortic aneurysm'},{'abdominal aortic aneurysm'},1,1
aal,"{'ambient assist live', 'activ and assist live'}","{'ambient assisted living', 'active and assisted living'}",2,2
aami,{'associ for advanc of medic instrument'},{'association for advancement of medical instrumentation'},1,1
aann,{'autoassoci neural network'},{'autoassociative neural network'},1,1
abc,"{'artifici bee coloni algorithm', 'artifici bee coloni'}","{'artificial bee colony algorithm', 'artificial bee colony'}",2,2
abnid,{'anomali base network intrus detect'},{'anomaly-based network intrusion detection'},1,1
ac,{'air condit'},{'air conditioning'},1,1
acds,{'adapt critic design'},{'adaptive critic designs'},1,1
acl,{'anterior cruciat ligament'},{'anterior cruciate ligament'},1,1
aco,{'ant coloni optim'},{'ant colony optimization'},1,1
acps,{'automot cyber physic system'},{'automotive cyber-physical systems'},1,1
active learning,{'subject specif adapt'},{'subject-specific adaptation'},1,1
ad,"{""alzheim 's diseas"", 'anomali detect', 'alzheim ’ s diseas'}","{'alzheimer’s disease', 'anomaly detection', ""alzheimer's disease""}",3,3
adaline,{'adapt linear neural network'},{'adaptive linear neural network'},1,1
adas,{'advanc driver assist system'},{'advanced driver assistance system'},1,1
adass,{'advanc driver assist system'},{'advanced driver assistance systems'},1,1
addl,{'structur analysi discrimin dictionari learn'},{'structured analysis discriminative dictionary learning'},1,1
adhd,{'attent deficit/hyperact disord'},{'attention-deficit/hyperactivity disorder'},1,1
adi,{'austemp ductil iron'},{'austempered ductile iron'},1,1
adi-r,{'autism diagnost interview revis'},{'autism diagnostic interview-revised'},1,1
adl,{'activ of daili live'},"{'activities of daily living', 'activity of daily living'}",2,2
admm,{'altern direct method of multipli'},{'alternating direction method of multiplier'},1,1
adp,"{'approxim dynam program', 'adapt dynam program', 'program'}","{'programming', 'approximate dynamic programming', 'adaptive dynamic programming'}",3,3
adrc,{'activ disturb reject control'},{'active disturbance rejection control'},1,1
ae,"{'acoust emiss', 'autoencod'}","{'acoustic emission', 'autoencoder'}",2,2
aed,{'autom extern defibril'},{'automated external defibrillator'},1,1
aer,{'address event represent'},{'address-event representation'},1,1
aes,{'artifici endocrin system'},{'artificial endocrine system'},1,1
af,{'atrial fibril'},{'atrial fibrillation'},1,1
afib,{'atrial fibril'},{'atrial fibrillation'},1,1
afm,{'atom forc microscopi'},{'atomic force microscopy'},1,1
agc,{'automat generat control'},{'automatic generation control'},1,1
agi,{'artifici general intellig'},{'artificial general intelligence'},1,1
agsp,{'adapt group sparsiti'},{'adaptive group sparsity'},1,1
agur,{'aggreg global univers rank'},{'aggregated global university ranking'},1,1
agv,{'automat guid vehicl'},{'automatic guided vehicle'},1,1
agvc,{'activ gate voltag control'},{'active gate voltage control'},1,1
ah,{'adapt hypermedia'},{'adaptive hypermedia'},1,1
ahp,"{'analyt hierarchi process', 'rough group analyt hierarchi process'}","{'analytic hierarchy process', 'rough group analytic hierarchy process', 'analytical hierarchy process'}",3,3
ai,"{'hybrid artifici intellig', 'artifici intellig'}","{'hybrid artificial intelligence', 'artificial intelligence'}",2,2
aid,{'automat incid detect'},{'automatic incident detection'},1,1
aip,{'age in place'},{'aging in place'},1,1
airs,{'artifici immun recognit system'},"{'artificial immune recognition systems', 'artificial immune recognition system'}",2,2
ais,"{'artifici immun system', 'automat identif system', 'adenocarcinoma in situ', 'agricultur innov system'}","{'artificial immune systems', 'adenocarcinoma in situ', 'automatic identification system', 'agricultural innovation systems'}",4,4
aits,{'advanc travel transport system'},{'advanced traveller transportation systems'},1,1
akis,{'agricultur knowledg and inform system'},{'agricultural knowledge and information systems'},1,1
al,{'activ learn'},{'active learning'},1,1
all,{'acut lymphoblast leukaemia'},{'acute lymphoblastic leukaemia'},1,1
alm,{'algebra logic model'},{'algebraic-logical model'},1,1
als,{'amyotroph later sclerosi'},{'amyotrophic lateral sclerosis'},1,1
alt,{'acceler life test'},{'accelerated life testing'},1,1
alv,{'autonom land vehicl'},{'autonomous land vehicle'},1,1
am,"{'amplitud modul', 'addit manufactur', 'attent model'}","{'attention model', 'additive manufacturing', 'amplitude modulation'}",3,3
amc,"{'automat modul classif', 'adapt modul and code'}","{'automatic modulation classification', 'adaptive modulation and coding'}",2,2
amd,"{'automat mispronunci detect', 'age relat macular degener ,'}","{'age-related macular degeneration,', 'automatic mispronunciation detection'}",2,2
ami,"{'ambient intellig', 'advanc meter infrastructur'}","{'ambient intelligence', 'advanced metering infrastructure'}",2,2
aml,"{'acut myeloid leukaemia', 'autonom machin learn'}","{'autonomous machine learning', 'acute myeloid leukaemia'}",2,2
ams,{'analysi modif synthesi'},{'analysis-modification-synthesis'},1,1
amsr-e,{'advanc microwav scan radiomet   earth observ system'},{'advanced microwave scanning radiometer - earth observing system'},1,1
amt,{'adapt multispac transform'},{'adaptive multispace transformation'},1,1
amtc,{'advanc mask technolog center'},{'advanced mask technology center'},1,1
amuse,{'algorithm for multipl unknown sourc extract'},{'algorithm for multiple unknown source extraction'},1,1
amv,{'actual mean vote'},{'actual mean vote'},1,1
anfis,"{'adapt network base fuzzi infer system', 'adapt neural fuzzi infer system', 'adapt neuro fuzzi infer system'}","{'adaptive neuro fuzzy inference system', 'adaptive neural fuzzy inference system', 'adaptive-network-based fuzzy inference system', 'adaptive neuro-fuzzy inference system', 'adaptive-network-based fuzzy inference systems', 'adaptive network-based fuzzy inference system'}",6,6
ann,"{'artifici neural networ', 'artifici neural network'}","{'artificial neural networks', 'artificial neural network', 'artificial neural networ'}",3,3
anna,{'artifici neural network algorithm'},{'artificial neural network algorithm'},1,1
anns,"{'artifici neural net', 'artifici neural network', 'artifici neutral network'}","{'artificial-neural nets', 'artificial neural networks', 'artificial neutral networks'}",3,3
anova,{'analysi of varianc'},{'analysis of variance'},1,1
anp,{'analyt network process'},{'analytical network process'},1,1
aoa,{'angl of arriv'},{'angle of arriving'},1,1
aod,{'aerosol optic depth'},{'aerosol optical depth'},1,1
aode,{'averag one depend estim'},{'averaged one-dependence estimators'},1,1
ap,{'action potenti'},{'action potential'},1,1
api,"{'applic program interfac', 'air pollut index'}","{'air pollution index', 'application programming interface'}",2,2
apk,{'applic packag'},{'application package'},1,1
apmv,{'adapt predict mean vote'},{'adaptive predicted mean vote'},1,1
apmv model,{'adapt predict mean vote model'},{'adaptive predicted mean vote model'},1,1
aps,"{'attribut profil', 'morpholog attribut profil'}","{'attribute profiles', 'morphological attribute profiles'}",2,2
apso,{'adapt particl swarm optim'},{'adaptive particle swarm optimization'},1,1
apt,"{'atom probe tomographi', 'advanc persist threat'}","{'advanced persistent threat', 'advanced persistent threats', 'atom probe tomography'}",3,3
apuf,{'arbit physic unclon function'},{'arbiter physically unclonable function'},1,1
aqi,{'air qualiti index'},{'air quality index'},1,1
ar,"{'linear autoregress', 'autoregress'}","{'linear autoregressive', 'autoregressive'}",2,2
ard,{'automat relev determin'},{'automatic relevance determination'},1,1
arm,{'associ rule mine'},{'association rule mining'},1,1
arn,{'auto reson network'},{'auto resonance network'},1,1
art,{'adapt reson theori'},{'adaptive resonance theory'},1,1
arwu,{'academ rank of world univers'},{'academic ranking of world universities'},1,1
as-built bim,{'build inform model'},{'building information modeling'},1,1
ascat,{'advanc scatteromet'},{'advanced scatterometer'},1,1
asd,{'autism spectrum disord'},{'autism spectrum disorder'},1,1
ase,{'atom simul environ'},{'atomic simulation environment'},1,1
asi,"{'autom surfac inspect', 'artifici social intellig'}","{'artificial social intelligence', 'automated surface inspection'}",2,2
asic,{'applic specif integr circuit'},{'application-specific integrated circuit'},1,1
asl,{'american sign languag'},{'american sign language'},1,1
asnn,{'associ neural network'},{'associative neural network'},1,1
asr,"{'automat speech recognit', 'hybrid automat speech recognit'}","{'automatic speech recognition', 'hybrid automatic speech recognition'}",2,2
atc,{'analyz then compress'},{'analyze-then-compress'},1,1
atl,{'adapt transport layer'},{'adaptive transport layer'},1,1
atr,"{'autom target recognit', 'automat target recognit'}","{'automatic target recognition', 'automated target recognition'}",2,2
auc,"{'area under roc curv', 'area under the curv'}","{'area under roc curve', 'area under the curve'}",2,2
aukf,{'adapt unscent kalman filter'},{'adaptive unscented kalman filter'},1,1
automl,{'autom machin learn'},{'automated machine learning'},1,1
auv,{'autonom underwat vehicl'},{'autonomous underwater vehicle'},1,1
av,{'audiovisu'},{'audiovisual'},1,1
avc,{'activ voltag control'},{'active voltage control'},1,1
avi,{'autom visual inspect'},{'automated visual inspection'},1,1
avs,{'autonom vehicl'},{'autonomous vehicles'},1,1
awpca,{'the accuraci  weight princip compon analysi'},{'the accuracy- weighted principal component analysis'},1,1
aws,{'amazon web servic'},{'amazon web services'},1,1
ba,{'busi analyt'},{'business analytics'},1,1
