Machine learning,14158
Deep learning,4241
machine learning,4191
Machine Learning,2642
Classification,1469
deep learning,1447
Data mining,1061
Deep Learning,909
Feature selection,643
Neural networks,584
Support vector machine,555
Feature extraction,517
Convolutional neural network,476
SVM,429
Support vector machines,414
Pattern recognition,414
Convolutional neural networks,402
Natural language processing,400
Computer vision,381
Artificial intelligence,372
Neural network,368
Big data,355
Clustering,344
classification,339
Sentiment analysis,331
Optimization,267
Prediction,260
Text mining,250
data mining,246
Image processing,241
CNN,241
Artificial neural networks,235
Anomaly detection,225
Twitter,221
Random forest,207
Machine learning algorithms,206
Regression,199
Reinforcement learning,189
Decision tree,185
neural networks,184
Artificial neural network,183
Decision trees,183
Image classification,183
Data Mining,182
Transfer learning,180
Big Data,174
Supervised learning,173
Segmentation,173
Intrusion detection,172
feature selection,170
Text classification,169
Genetic algorithm,169
Information retrieval,168
Security,165
Bioinformatics,162
Activity recognition,162
Object detection,157
convolutional neural network,156
EEG,156
Image segmentation,153
Unsupervised learning,152
convolutional neural networks,151
Genetic algorithms,150
Convolutional Neural Networks,150
Ensemble learning,148
Cloud computing,146
Fault diagnosis,145
Supervised machine learning,145
pattern recognition,143
Face recognition,141
Support Vector Machine,139
Visualization,138
Training,137
support vector machine,133
Internet of Things,131
Machine-learning,131
Social media,131
Neural Networks,126
Information extraction,123
Malware,121
Boosting,118
Convolutional Neural Network,118
feature extraction,117
big data,117
Natural Language Processing,116
Recommender systems,116
neural network,116
Artificial Intelligence,113
Active learning,111
Malware detection,111
Object recognition,111
Android,107
artificial intelligence,107
natural language processing,106
Remote sensing,106
Opinion mining,103
Bayesian networks,101
Semi-supervised learning,101
Deep neural networks,101
Ontology,101
Forecasting,101
Support Vector Machines,99
Sentiment Analysis,99
Algorithms,98
Autoencoder,97
Dimensionality reduction,97
computer vision,97
LSTM,96
Fuzzy logic,95
Support vector machine (SVM),92
Pattern classification,90
Accelerometer,90
Emotion recognition,90
Signal processing,90
Text categorization,89
Knowledge discovery,89
Machine learning techniques,89
Evaluation,88
Biometrics,88
GPU,88
Kernel methods,88
Support vector regression,88
Time series,88
IoT,88
Random Forest,88
Crowdsourcing,87
FPGA,87
Genetic programming,86
Principal component analysis,86
Traffic classification,86
Simulation,85
Speech recognition,85
MRI,84
Collaborative filtering,84
Recurrent neural networks,84
clustering,83
Image analysis,82
Privacy,80
MapReduce,80
Particle swarm optimization,79
Image retrieval,78
Neural Network,78
AdaBoost,78
Social networks,77
Hadoop,77
NLP,77
sentiment analysis,76
support vector machines,76
Energy efficiency,76
Deep neural network,75
Smartphone,75
Random forests,75
Sensors,75
Feature Selection,74
optimization,74
Action recognition,74
Computational intelligence,74
Detection,73
PCA,72
Data analysis,71
image processing,71
Evolutionary computation,71
Extreme learning machine,71
Predictive models,71
Classifier,71
Alzheimer's disease,71
Interactive machine learning,70
Network security,70
Affective computing,70
Breast cancer,69
transfer learning,68
Logistic regression,67
Online learning,67
Uncertainty,66
Bagging,65
Bayesian network,65
Computer Vision,65
supervised learning,64
Web mining,64
Recurrent neural network,64
Data fusion,63
Entropy,63
Feature learning,63
Deep belief network,63
anomaly detection,63
Pattern Recognition,62
Image recognition,62
Knowledge acquisition,62
Robustness,62
Monitoring,61
ECG,61
Human activity recognition,61
Internet of things,61
image classification,61
Naïve Bayes,61
Statistics,60
machine learning algorithms,60
Diagnosis,60
Convolutional neural network (CNN),60
segmentation,60
object detection,59
random forest,59
Evolutionary algorithms,59
Unsupervised machine learning,58
Fall detection,58
Structural health monitoring,58
cloud computing,57
Computer-aided diagnosis,57
Semantics,57
Learning,57
Modeling,57
Cloud Computing,57
Wearable sensors,57
Gesture recognition,56
prediction,56
Melanoma,56
Artificial Neural Networks,56
Ensemble,56
Face detection,56
Robotics,55
Feature Extraction,55
Accuracy,54
Task analysis,54
Machine learning algorithm,54
Expert system,53
Sentiment classification,53
Information Retrieval,53
Supervised classification,53
Text Mining,52
Condition monitoring,52
Computational modeling,52
text mining,52
Naive Bayes,52
Measurement,52
Intelligent systems,52
Incremental learning,52
Personalization,51
Visual tracking,51
Performance,50
Context,50
K-means,50
Performance evaluation,50
Knowledge representation,50
Parkinson's disease,50
Fault detection,50
Mutual information,50
Social network,49
Time series analysis,49
Databases,49
Intrusion detection system,49
unsupervised learning,49
Hidden Markov models,49
Machine vision,49
fMRI,48
Wavelet transform,48
Anomaly Detection,48
ANN,48
Decision support systems,47
Survey,47
Healthcare,47
Object tracking,47
activity recognition,47
Hyperspectral imaging,46
Wireless sensor networks,46
Classification algorithms,46
Named entity recognition,46
Big data analytics,46
Concept drift,46
Kernel,46
Ranking,46
Deep belief networks,46
